player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Aidan O'Connell,60516,QB,PURDUE,1,2.3,2.28,2.95,,61,273,56.8,37,39,9.2,1.88,1,1,2.3,46.2,18,7,14.3,39,63.9,3,8,,,,,69.3,54.3,75.1,,54.2,,,,,0,0,44,0.0,61.3,0.0,0,0,0,1,0,2,4.5,194,5.0,66.7,18,20,9.5,3.05,0,0,0.0,60.0,12,9,0.0,22,36.1,0,9,,,,,67.5,66.8,72.8,,66.4,,,,,2,0,23,22.2,104.4,9.1,2,0,0,0,1,1,4.3,171,8.6
Davis Brin,77642,QB,TULSA,1,2.52,2.37,3.18,4.37,59,320,66.7,33,33,8.9,1.96,0,2,5.7,60.6,20,4,9.1,35,59.3,2,11,,,,,29.7,60.2,74.5,,59.9,,,,,0,0,37,50.0,107.5,5.7,2,0,0,0,2,1,2.7,275,8.3,57.9,19,19,16.5,3.34,0,0,0.0,52.6,10,8,9.1,24,40.7,1,7,,,,,68.0,74.3,73.5,,72.8,,64.2,,,0,0,28,25.0,104.1,8.3,2,3,0,0,1,0,0.0,185,9.7
Layne Hatcher,82068,QB,TEXAS ST,1,2.65,2.59,2.98,4.8,57,314,75.0,28,28,4.5,1.8,0,0,0.0,75.0,21,4,0.0,28,49.1,0,6,,,,,68.0,50.6,73.5,,50.5,,,,,0,1,28,0.0,80.7,0.0,0,0,0,0,1,1,3.6,128,4.6,60.9,23,24,16.0,3.48,0,1,3.7,54.2,13,12,7.1,29,50.9,1,6,,,,,28.6,43.1,74.1,,45.2,,52.9,,,1,1,33,33.3,73.8,13.8,4,1,0,0,1,2,6.1,173,7.2
Miles Fallin,60415,QB,NWSTATE,1,2.32,2.07,3.44,4.4,54,257,77.1,35,35,5.2,1.75,0,0,0.0,74.3,26,8,3.7,36,66.7,1,6,,,,,68.8,58.8,74.5,,58.5,,,,,0,0,37,12.5,79.9,2.8,1,0,0,0,0,0,0.0,134,3.8,54.5,11,11,11.7,3.47,0,0,0.0,54.5,6,12,0.0,18,33.3,0,4,,,,,66.8,40.9,72.0,,39.8,,58.1,,,0,2,18,33.3,33.0,22.2,4,3,0,0,0,1,5.6,66,6.0
Connor Bazelak,99135,QB,INDIANA,1,2.46,2.37,4.7,4.8,54,190,59.3,27,29,8.3,1.84,0,0,0.0,51.7,15,4,6.3,29,53.7,1,9,,,,,68.2,60.0,73.7,,59.7,,,,,1,0,30,0.0,69.8,0.0,0,0,0,1,0,0,0.0,171,5.9,71.4,21,23,11.3,3.18,0,1,4.2,56.5,13,14,13.3,25,46.3,2,7,,,,,67.8,75.3,73.3,,72.3,,64.9,,,1,1,26,7.1,74.4,4.0,1,1,0,1,1,1,3.8,159,6.9
Parker McKinney,82109,QB,E KENTUCKY,1,2.56,2.47,2.7,4.8,54,159,81.8,33,33,6.9,1.87,0,1,2.9,72.7,24,1,11.1,33,61.1,3,15,,,,,68.6,74.1,74.3,,73.4,,,,,0,0,35,0.0,109.7,0.0,0,0,0,0,2,1,2.9,212,6.4,70.6,17,18,14.9,3.64,0,2,10.5,61.1,11,11,8.3,21,38.9,1,7,,,,,67.5,68.2,72.8,,69.2,,58.6,,,0,1,23,9.1,80.6,4.8,1,2,0,1,1,2,8.7,139,7.7
Gunner Talkington,60371,QB,E WASHGTON,1,2.63,2.41,3.0,4.67,54,161,70.4,27,27,5.4,1.9,0,0,0.0,66.7,18,3,5.3,27,50.0,1,10,,,,,68.0,72.3,73.5,,71.7,,,,,0,0,28,0.0,122.6,0.0,0,0,0,0,3,0,0.0,181,6.7,66.7,18,19,15.2,3.48,1,1,5.3,57.9,11,10,8.3,26,48.1,1,9,,,,,67.8,87.4,73.3,,84.6,,69.5,,,0,0,26,10.0,122.0,3.8,1,6,0,0,2,0,0.0,167,8.8
Zachary Yeager,150544,QB,NC A&T,1,2.78,2.58,,4.8,53,246,64.3,28,28,8.1,1.92,0,0,0.0,57.1,16,3,11.1,28,52.8,2,6,,,,,68.1,63.0,73.6,,62.6,,,,,0,1,29,0.0,55.5,0.0,0,0,0,0,0,1,3.4,139,5.0,45.0,20,20,18.3,3.75,0,1,4.8,35.0,7,10,22.2,25,47.2,2,7,,,,,67.8,52.4,73.3,,44.1,,71.4,,,0,0,26,0.0,76.3,0.0,0,5,0,0,1,2,7.7,136,6.8
Gunnar Watson,83570,QB,TROY,1,2.57,2.47,2.8,6.1,53,318,90.9,22,24,6.2,1.95,1,0,0.0,75.0,18,6,10.0,26,49.1,2,9,,,,,26.3,77.2,73.3,,76.5,,,,,1,1,26,33.3,85.8,7.7,2,0,0,0,1,1,3.8,142,5.9,85.0,20,23,6.2,3.17,1,0,0.0,69.6,16,15,5.9,27,50.9,1,4,,,,,67.9,63.2,73.4,,64.9,,57.0,,,0,0,27,20.0,84.1,11.1,3,1,0,2,0,0,0.0,133,5.8
Miles Hastings,103943,QB,UC DAVIS,1,2.44,2.38,3.25,3.9,53,322,72.7,33,33,5.4,1.91,0,1,3.0,69.7,23,4,4.2,34,64.2,1,10,,,,,68.5,64.8,74.2,,64.4,,,,,0,2,34,25.0,59.2,2.9,1,0,0,0,0,2,5.9,192,5.8,76.9,13,17,7.0,3.41,0,0,0.0,52.9,9,7,10.0,19,35.8,1,4,,,,,67.2,62.8,72.5,,64.7,,57.3,,,0,0,21,14.3,78.3,5.3,1,1,0,4,1,0,0.0,50,2.9
