player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Cale Hellums,170981,QB,ARMY,1,41,5,1,12.9,16,0,89,0,0,4,69,23.9,3,14,114,0,18,78.9,73.3,77.6,72.5,,55.9,66.9,60.0,16,0,0,0,1,63,35,7,0,34,2,124,83,2.02,3.0,0.0,4
Devin Mockobee,145111,HB,PURDUE,1,32,6,0,0.0,0,0,126,0,1,6,92,59.2,3,11,273,0,20,79.5,76.2,77.9,,36.0,69.2,74.7,59.8,12,0,21,2,15,34,0,0,2,34,2,126,92,2.88,3.9,1.4,12
Bryson Washington,174649,HB,BAYLOR,1,31,1,1,13.0,15,0,115,0,0,1,60,5.7,2,9,118,1,9,47.4,61.0,77.6,,75.8,55.9,61.6,60.0,15,0,11,3,32,33,0,0,4,34,2,115,60,1.94,3.7,0.34,18
Jalen Buckley,163158,HB,W MICHIGAN,1,30,1,1,22.2,26,0,117,1,0,1,95,9.9,1,8,347,0,26,79.1,69.7,77.9,,77.1,52.2,69.5,66.6,26,0,51,2,12,38,0,0,3,32,0,117,95,3.17,3.9,4.25,4
Kewan Lacy,190221,HB,OLE MISS,1,28,9,3,53.6,74,0,138,0,1,9,71,87.4,4,8,226,0,14,78.9,72.8,77.7,,78.2,56.4,72.4,58.3,33,0,4,1,16,36,0,0,1,29,1,138,71,2.54,4.9,0.25,14
Cam Cook,173133,HB,JVILLE ST,1,28,14,4,47.7,93,0,195,0,0,14,131,233.9,8,8,196,0,5,79.1,79.8,77.4,,,55.7,77.7,58.7,31,0,0,0,8,41,0,0,0,28,2,195,131,4.68,7.0,0.0,23
Chavon Wright,205258,HB,N ILLINOIS,1,27,7,0,0.0,0,0,90,0,3,7,78,96.3,2,6,254,0,10,78.4,72.1,77.5,,60.1,62.2,71.7,58.9,13,0,7,3,15,32,0,0,4,30,0,90,78,2.89,3.3,0.47,17
Anthony Hankerson,157691,HB,OREGON ST,1,25,6,3,48.5,66,0,136,1,0,6,81,77.8,4,6,265,0,14,78.5,64.8,78.7,,83.6,39.1,68.8,60.0,26,0,0,0,33,29,0,0,3,25,0,136,81,3.24,5.4,0.0,11
Rashod Dubinion,157020,HB,APP STATE,1,25,8,3,33.5,62,0,185,0,0,8,112,137.8,4,6,108,2,11,23.7,70.9,78.3,,57.3,53.9,72.5,60.0,26,0,3,1,26,29,0,0,1,26,0,185,112,4.48,7.4,0.12,14
Ahmad Hardy,190013,HB,MISSOURI,1,25,12,1,28.8,32,0,111,0,0,12,102,188.3,2,5,229,1,9,40.0,72.0,77.1,,74.6,59.9,70.8,60.0,32,0,2,1,9,26,0,0,1,26,1,111,102,4.08,4.4,0.22,16
Kentrel Bullock,124129,HB,S ALABAMA,1,24,7,0,0.0,0,0,107,0,1,7,61,81.3,4,7,288,0,14,78.0,76.0,76.8,,40.0,57.7,77.0,55.3,13,0,-2,1,11,31,0,0,1,25,1,107,61,2.54,4.5,-0.18,10
Al-Jay Henderson,145676,HB,BUFFALO,1,24,8,0,0.0,0,0,98,0,2,8,70,112.2,1,8,126,0,8,77.8,74.6,76.4,,77.8,77.5,71.2,63.4,10,0,42,2,11,31,0,0,2,26,2,98,70,2.92,4.1,3.82,16
Kanye Udoh,171024,HB,ARIZONA ST,1,23,7,1,20.0,21,0,105,0,0,7,57,75.4,4,8,110,0,15,77.5,68.1,76.9,,71.5,54.9,69.4,39.2,21,0,0,0,8,24,0,0,0,23,1,105,57,2.48,4.6,0.0,8
Chubba Purdy,122412,QB,NEVADA,1,22,7,1,17.3,19,0,39,0,0,2,25,34.7,5,6,239,0,7,73.3,64.7,77.1,63.5,,,61.8,60.0,19,0,0,0,0,38,71,10,0,12,1,110,56,2.55,5.0,,3
Marquis Gillis,151714,HB,DELWARE ST,1,22,5,1,14.9,17,0,114,0,0,5,86,85.0,4,7,152,0,0,77.5,71.6,0.0,,71.8,59.0,72.9,59.4,17,1,8,1,12,27,0,0,1,23,1,114,86,3.91,5.2,0.67,21
Blake Horvath,162555,QB,NAVY,1,21,3,1,36.9,24,0,48,0,0,2,57,35.2,2,7,237,2,12,74.8,81.3,76.3,73.9,,,72.3,60.0,24,0,0,0,0,49,17,3,0,18,2,65,71,3.38,3.1,,2
Adam Randall,156252,HB,CLEMSON,1,21,2,1,28.0,30,0,107,0,1,2,58,33.1,4,6,140,1,15,38.4,72.8,76.7,,60.3,68.1,71.7,59.7,30,0,23,4,18,24,0,0,4,25,1,107,58,2.76,5.1,1.28,6
Lincoln Pare,121537,HB,TEXAS ST,1,21,2,1,39.4,28,0,71,0,2,2,79,62.7,1,4,314,0,11,77.0,72.5,75.5,,76.3,70.0,70.2,60.0,28,0,13,3,10,29,0,0,3,24,1,71,79,3.76,3.4,1.3,9
Dominic Richardson,122985,HB,TULSA,1,20,7,1,34.4,32,0,93,0,0,7,75,114.1,1,5,320,0,7,76.8,64.2,77.5,,50.9,59.1,63.7,71.7,32,0,20,3,23,22,0,0,3,23,0,93,75,3.75,4.7,0.87,13
Sieh Bangura,145886,HB,OHIO,1,20,7,0,0.0,0,0,66,0,0,7,65,98.9,0,3,259,0,15,76.8,65.3,78.4,,60.7,63.6,65.4,57.6,9,0,16,3,24,26,0,0,4,23,1,66,65,3.25,3.3,0.67,5
Grant Washington,204156,HB,MINNESOTA,1,20,2,2,25.4,32,0,126,0,0,2,59,29.5,4,8,225,0,4,76.7,80.0,74.0,,75.5,57.5,77.1,60.0,16,0,0,0,4,21,0,0,0,20,0,126,59,2.95,6.3,0.0,16
Cam Edwards,158615,HB,UCONN,1,20,0,1,36.8,25,0,68,0,1,0,55,12.5,1,4,146,0,5,76.7,69.1,78.6,,79.0,66.0,66.9,67.3,25,0,46,2,22,25,0,0,2,22,0,68,55,2.75,3.4,2.09,15
Bill Davis,176332,HB,LA LAFAYET,1,19,5,2,43.6,58,0,133,0,0,5,75,98.7,4,8,207,0,4,76.5,89.4,75.7,,41.2,62.8,86.8,60.0,36,0,6,1,4,20,0,0,1,20,2,133,75,3.95,7.0,1.5,15
