player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_coverage_defense,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_coverage_defense,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_coverage_defense,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_coverage_defense,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Chandler Rogers,98683,QB,N TEXAS,1,59,78.6,14,14,11.5,2.85,0,0,0.0,64.3,9,8,18.2,17,28.8,2,7,,,,,67.1,87.9,72.4,83.9,,69.3,0,0,20,25.0,95.8,11.8,2,1,0,0,0,0,0.0,135,9.6,0,251,71.9,76.3,76.0,61.8,61.1,36,39,10.8,2.57,2,0,0.0,53.8,21,14,4.5,42,71.2,1,13,,,,,69.1,67.1,74.9,67.8,,57.3,1,1,42,14.3,90.7,4.8,2,1,0,0,3,1,2.4,269,6.9,71.4,35,37,9.7,2.17,2,0,0.0,59.5,22,0,12.0,37,62.7,3,15,,,,,68.8,82.6,74.5,81.6,,,0,0,37,,104.7,0.0,0,0,0,0,2,0,0.0,311,8.4,0,53.3,15,16,14.2,3.46,0,0,0.0,50.0,8,22,0.0,22,37.3,0,5,,,,,67.7,63.9,73.1,61.1,,65.3,1,1,25,18.2,62.8,18.2,4,2,0,0,1,1,4.0,93,5.8
Josh Hoover,127148,QB,TCU,1,59,50.0,18,23,7.1,2.38,1,0,0.0,39.1,9,10,0.0,24,40.7,0,7,,,,,67.7,48.8,73.3,48.8,,,2,0,26,10.0,66.9,4.2,1,0,0,2,1,1,3.8,98,4.3,0,305,70.9,63.5,62.1,62.7,70.6,34,35,7.1,2.37,0,2,5.6,65.7,23,8,4.2,35,59.3,1,13,,,,,68.7,71.9,74.4,71.3,,,0,1,36,0.0,102.8,0.0,0,0,0,1,3,2,5.6,246,7.0,70.0,40,41,6.7,2.17,1,1,2.3,65.9,27,0,3.6,41,69.5,1,16,,,,,69.3,74.7,75.1,74.0,,,0,0,44,,115.4,0.0,0,0,0,0,4,1,2.3,255,6.2,0,41.7,12,17,8.3,2.85,0,1,5.9,29.4,5,18,0.0,18,30.5,0,4,,,,,66.7,36.1,72.0,36.3,,,2,1,18,5.6,24.4,5.6,1,0,0,3,0,2,11.1,89,5.2
Cam Ward,133244,QB,WASH STATE,1,55,71.4,7,8,12.1,2.75,0,2,25.0,62.5,5,5,0.0,10,18.2,0,5,,,,,65.4,81.8,70.1,81.2,,,0,1,10,40.0,100.5,20.0,2,0,0,1,1,0,0.0,89,11.1,0,341,71.5,78.4,79.9,59.0,86.5,37,40,6.6,2.53,1,2,4.8,67.5,27,12,15.6,45,81.8,5,11,,,,,69.6,74.9,75.6,75.4,60.0,59.2,1,1,49,25.0,88.3,6.7,3,2,0,1,2,1,2.0,228,5.7,88.6,35,36,6.4,1.95,1,1,2.6,75.0,27,0,12.9,38,69.1,4,14,,,,,69.0,73.3,74.8,75.4,,53.6,0,1,40,,100.2,0.0,0,2,0,0,2,1,2.5,248,6.9,0,66.7,9,12,11.7,3.96,0,3,25.0,41.7,5,17,16.7,17,30.9,1,2,,,,,67.0,81.8,72.4,79.2,60.0,64.3,1,1,19,29.4,53.8,29.4,5,0,0,2,1,0,0.0,69,5.8
Anthony Colandrea,170131,QB,VIRGINIA,1,54,50.0,2,2,3.0,3.37,0,0,0.0,50.0,1,2,0.0,3,5.6,0,0,,,,,62.7,56.5,66.6,62.3,,57.3,0,0,3,0.0,56.3,0.0,0,1,0,0,0,0,0.0,0,0.0,0,335,70.7,68.1,73.2,47.9,74.4,39,43,8.5,2.92,1,3,6.7,62.8,27,22,6.9,51,94.4,2,10,,,,,69.8,70.3,75.8,73.2,,50.9,0,1,53,22.7,84.2,9.8,5,3,0,3,2,1,1.9,247,5.7,70.4,27,29,8.4,2.28,1,1,3.4,62.1,18,0,5.3,30,55.6,1,5,,,,,68.2,68.7,73.7,70.0,,57.0,0,1,30,,69.9,0.0,0,1,0,1,1,1,3.3,132,4.6,0,78.6,14,16,7.9,3.77,0,2,11.1,62.5,10,24,9.1,24,44.4,1,5,,,,,67.8,66.6,73.3,71.9,,51.1,0,0,26,20.8,104.9,20.8,5,3,0,2,1,0,0.0,115,7.2
Keyone Jenkins,170403,QB,FIU,1,54,64.7,17,17,8.6,2.17,0,2,11.1,64.7,11,9,0.0,19,35.2,0,8,,,,,67.0,74.4,72.4,76.2,,57.3,0,1,20,11.1,107.8,5.3,1,1,0,0,3,1,5.0,150,8.8,0,166,71.3,55.2,50.9,65.7,63.0,27,31,5.9,2.85,0,0,0.0,48.4,15,10,11.8,35,64.8,2,4,,,,,68.6,34.0,74.3,33.3,,56.5,0,1,35,0.0,42.3,0.0,0,4,0,4,0,3,8.6,99,3.2,73.5,34,35,4.6,2.13,0,1,2.8,65.7,23,0,8.0,35,64.8,2,9,,,,,68.7,48.7,74.4,48.6,,,0,1,36,,85.4,0.0,0,0,0,1,2,3,8.3,180,5.1,1,30.0,10,13,14.7,3.48,0,1,7.7,23.1,3,19,0.0,19,35.2,0,3,,,,,66.8,55.2,72.2,59.0,,54.2,0,1,19,5.3,42.8,5.3,1,5,0,3,1,1,5.3,69,5.3
E.J. Warner,156185,QB,TEMPLE,1,49,57.1,14,17,7.5,2.35,0,1,5.6,35.3,6,6,25.0,18,36.7,2,2,,,,,67.0,40.7,72.2,40.9,,,0,0,19,16.7,45.0,5.6,1,0,0,3,0,3,15.8,55,3.2,0,306,69.7,63.1,62.3,,81.5,27,31,7.0,2.24,2,2,6.3,67.7,21,5,4.5,31,63.3,1,10,,,,,68.4,78.2,74.0,77.4,,,0,1,32,0.0,103.6,0.0,0,0,0,2,2,1,3.1,275,8.9,78.8,33,38,5.7,1.97,2,2,5.0,60.5,23,0,11.5,38,77.6,3,8,,,,,69.0,64.7,74.8,64.2,,,0,1,40,,63.9,0.0,0,0,0,3,0,2,5.0,204,5.4,0,50.0,8,10,13.3,3.35,0,1,10.0,40.0,4,11,0.0,11,22.4,0,4,,,,,65.6,57.0,70.4,56.9,,,0,0,11,9.1,127.1,9.1,1,0,0,2,2,2,18.2,126,12.6
Keegan Shoemaker,108983,QB,SM HOUSTON,1,49,71.4,14,17,5.9,2.21,2,0,0.0,52.9,9,3,10.0,17,34.7,1,5,,,,,67.1,52.2,72.4,52.1,,,0,0,20,0.0,61.9,0.0,0,0,0,1,0,0,0.0,64,3.8,0,281,71.7,64.2,59.8,71.4,76.7,30,31,4.9,2.18,0,0,0.0,71.0,22,7,4.3,32,65.3,1,7,,,,66.7,68.6,65.2,74.1,65.3,57.4,,0,1,32,14.3,65.8,3.1,1,0,0,1,0,1,3.1,134,4.3,81.1,37,39,3.8,1.86,2,0,0.0,74.4,29,0,3.3,39,79.6,1,11,,,,66.7,69.3,67.1,75.0,67.1,57.4,,0,1,42,,72.3,0.0,0,0,0,0,0,1,2.4,177,4.5,0,42.9,7,9,12.6,3.5,0,0,0.0,22.2,2,10,33.3,10,20.4,1,1,,,,,65.4,41.4,70.1,41.6,,,0,0,10,10.0,39.6,10.0,1,0,0,2,0,0,0.0,21,2.3
Will Howard,122599,QB,KANSAS ST,1,48,12.5,8,8,15.3,2.39,0,0,0.0,12.5,1,3,0.0,8,16.7,0,1,,,,,65.1,39.8,69.8,40.1,,,0,0,9,0.0,50.0,0.0,0,0,0,0,0,0,0.0,44,5.5,0,199,73.4,60.1,57.3,63.4,59.0,39,40,8.1,3.14,0,2,4.4,57.5,23,7,0.0,40,83.3,0,13,,,,,69.4,64.2,75.2,63.8,,,0,1,45,0.0,73.3,0.0,0,0,0,1,1,3,6.7,244,6.1,57.9,38,38,8.9,2.7,0,1,2.4,57.9,22,0,0.0,38,79.2,0,13,,,,,69.1,63.3,74.9,62.9,,,0,1,42,,78.1,0.0,0,0,0,0,1,2,4.8,273,7.2,0,22.2,9,10,11.1,4.22,0,1,8.3,20.0,2,10,0.0,10,20.8,0,1,,,,,65.8,43.6,70.7,43.7,,,0,0,12,0.0,39.6,0.0,0,0,0,1,0,1,8.3,15,1.5
Alan Bowman,77679,QB,OKLA STATE,1,48,76.5,17,19,7.6,2.39,0,0,0.0,63.2,12,4,7.7,19,39.6,1,6,,,,,67.5,60.4,72.8,60.1,,,0,0,23,0.0,83.9,0.0,0,0,0,2,0,2,8.7,133,7.0,0,262,70.7,65.8,66.0,55.5,70.4,27,28,8.4,2.6,0,0,0.0,67.9,19,4,0.0,29,60.4,0,8,,,,,68.4,69.5,74.0,68.9,,,0,2,32,25.0,56.8,3.4,1,0,0,1,0,2,6.3,188,6.7,77.5,40,40,7.5,2.11,0,0,0.0,75.0,30,0,3.2,40,83.3,1,13,,,,,69.5,75.0,75.4,74.2,,,0,2,47,,75.3,0.0,0,0,0,0,0,2,4.3,303,7.6,0,25.0,4,7,14.5,4.56,0,0,0.0,14.3,1,8,0.0,8,16.7,0,1,,,,,64.9,32.3,69.5,32.6,,,0,0,8,12.5,39.6,12.5,1,0,0,3,0,2,25.0,18,2.6
Dante Moore,173983,QB,UCLA,1,48,55.6,9,11,10.8,2.48,0,0,0.0,45.5,5,7,0.0,13,27.1,0,4,,,,,66.0,52.3,71.0,52.3,,,0,0,13,28.6,96.8,15.4,2,0,0,2,1,0,0.0,70,6.4,0,324,24.0,43.5,42.3,58.5,76.0,25,27,5.2,2.68,2,0,0.0,66.7,18,13,5.3,35,72.9,1,10,,,,,19.9,39.2,74.3,41.3,,52.7,0,2,35,46.2,57.0,17.1,6,2,0,0,0,3,8.6,196,7.3,72.0,25,27,6.4,2.27,2,0,0.0,63.0,17,0,5.6,28,58.3,1,9,,,,,68.0,58.2,73.5,59.5,,57.3,0,2,28,,62.1,0.0,0,1,0,0,1,1,3.6,169,6.3,0,66.7,9,11,7.6,3.12,0,0,0.0,54.5,6,20,0.0,20,41.7,0,5,,,,,14.0,28.2,72.4,28.5,,57.0,0,0,20,40.0,84.3,40.0,8,1,0,2,0,2,10.0,97,8.8
