player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_coverage_defense,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_coverage_defense,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_coverage_defense,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_coverage_defense,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Bryson Barnes,131845,QB,UTAH,1,66,81.3,16,17,9.7,3.2,0,1,5.6,70.6,12,12,7.7,20,30.3,1,9,,,,,67.2,86.3,72.5,82.7,,68.2,1,0,21,8.3,114.8,5.0,1,2,0,0,1,0,0.0,140,8.2,0,328,72.7,79.7,75.8,71.0,61.3,31,37,10.2,3.56,1,2,5.3,51.4,19,22,0.0,46,69.7,0,11,,,,,69.5,68.9,75.6,67.0,,64.7,0,2,48,13.6,51.6,6.5,3,6,0,5,1,1,2.1,180,4.9,67.9,28,29,8.9,2.63,1,0,0.0,62.1,18,0,5.3,32,48.5,1,8,,,,,68.5,65.9,74.1,66.5,,58.4,0,1,33,,70.9,0.0,0,3,0,0,1,1,3.0,139,4.8,1,68.4,19,25,11.8,4.23,0,3,11.5,52.0,13,34,0.0,34,51.5,0,12,,,,,68.7,84.3,74.6,79.9,,72.0,1,1,36,11.8,72.3,11.8,4,5,0,5,1,0,0.0,181,7.2
T.J. Finley,124093,QB,TEXAS ST,1,59,0.0,1,1,34.0,2.75,0,0,0.0,0.0,0,2,,2,3.4,0,0,,,,,61.8,55.5,65.5,55.5,,,0,0,2,50.0,39.6,50.0,1,0,0,0,0,0,0.0,0,0.0,0,314,43.5,60.9,61.3,55.1,72.2,54,55,9.6,2.61,0,1,1.8,69.1,38,13,2.6,57,96.6,1,17,,,,,41.1,59.3,76.2,61.9,,50.5,0,2,59,7.7,90.6,1.8,1,1,0,1,3,6,10.2,369,6.7,72.1,43,43,10.0,2.29,0,1,2.3,69.8,30,0,3.2,44,74.6,1,13,,,,,34.3,58.2,75.2,61.6,,50.5,0,1,45,,93.8,0.0,0,1,0,0,2,4,8.9,287,6.7,0,66.7,12,13,10.2,3.58,0,0,0.0,61.5,8,15,0.0,15,25.4,0,4,,,,,66.5,60.4,71.6,60.1,,,0,1,16,13.3,73.2,13.3,2,0,0,1,1,2,12.5,82,6.3
Jordan McCloud,101058,QB,JAMES MAD,1,56,57.1,7,7,8.0,1.79,0,0,0.0,42.9,3,1,25.0,7,12.5,1,3,,,,,64.6,59.6,69.1,59.4,,,0,0,7,0.0,58.0,0.0,0,0,0,0,0,0,0.0,34,4.9,0,197,25.5,51.7,53.7,51.5,66.7,36,39,9.8,3.39,0,2,4.9,61.5,24,22,0.0,49,87.5,0,16,,,,,37.6,56.0,75.7,53.1,,65.8,1,1,51,22.7,78.5,10.2,5,5,0,2,1,4,7.8,255,6.5,63.3,30,30,7.6,2.53,0,0,0.0,60.0,18,0,5.3,33,58.9,1,14,,,,,68.5,54.8,74.2,52.0,,65.7,0,1,34,,75.4,0.0,0,3,0,0,1,2,5.9,188,6.3,1,69.2,13,16,13.8,4.13,0,2,11.8,56.3,9,23,0.0,23,41.1,0,5,,,,,25.6,59.8,73.0,58.6,,61.6,1,0,24,21.7,75.3,21.7,5,2,0,2,0,2,8.3,101,6.3
Seth Henigan,144267,QB,MEMPHIS,1,55,66.7,12,12,6.9,2.12,0,1,8.3,66.7,8,2,0.0,12,21.8,0,4,,,,,65.8,67.5,70.7,67.1,,,0,0,12,0.0,88.5,0.0,0,0,0,0,0,0,0.0,89,7.4,0,218,44.3,76.8,81.1,46.8,78.4,37,39,9.5,2.6,0,2,4.7,69.2,27,9,6.9,43,78.2,2,15,,,,,69.5,83.1,75.4,82.3,,61.6,0,0,47,22.2,109.8,4.7,2,2,0,2,2,0,0.0,308,7.9,76.7,43,43,9.1,2.28,0,3,6.5,72.1,31,0,6.1,44,80.0,2,16,,,,,69.5,85.6,75.4,85.9,,57.0,0,0,47,,104.5,0.0,0,1,0,0,1,0,0.0,357,8.3,0,66.7,6,8,6.8,3.37,0,0,0.0,50.0,4,11,0.0,11,20.0,0,3,,,,,65.8,59.0,70.7,53.8,,64.1,0,0,12,18.2,104.2,18.2,2,1,0,2,1,0,0.0,40,5.0
Caleb Williams,144622,QB,USC,1,51,77.8,18,19,10.9,2.27,0,2,10.0,73.7,14,4,0.0,20,39.2,0,8,,,,,67.2,89.8,72.5,88.8,,,0,1,21,25.0,111.2,5.0,1,0,1,0,1,0,0.0,247,13.0,0,326,70.3,78.8,78.9,59.4,81.8,22,26,4.7,3.3,0,1,3.4,69.2,18,13,0.0,31,60.8,0,6,,,,,68.5,61.4,74.2,63.9,,53.6,0,0,34,23.1,81.7,9.7,3,2,1,3,0,0,0.0,137,5.3,80.6,31,33,6.4,2.12,0,1,2.9,75.8,25,0,0.0,34,66.7,0,12,,,,,68.7,76.1,74.4,76.8,,57.8,0,1,36,,100.9,0.0,0,1,2,0,1,0,0.0,303,9.2,0,77.8,9,12,11.6,4.45,0,2,14.3,58.3,7,17,0.0,17,33.3,0,2,,,,,67.0,71.8,72.2,74.1,,57.3,0,0,19,23.5,78.8,23.5,4,1,0,3,0,0,0.0,81,6.8
Brayden Schager,146078,QB,HAWAII,1,51,54.5,22,23,13.5,2.56,0,2,8.7,47.8,11,12,8.3,25,49.0,1,6,,,,,67.7,55.0,73.1,54.9,,,0,2,25,16.7,48.3,8.0,2,0,0,1,1,2,8.0,155,6.7,0,180,43.6,55.1,62.2,46.5,75.0,20,21,9.9,3.82,0,0,0.0,66.7,14,7,6.7,26,51.0,1,6,,,,,26.7,54.4,73.4,69.4,,32.6,1,0,27,14.3,82.0,3.8,1,4,0,0,0,1,3.7,123,5.9,72.4,29,29,9.3,3.11,0,0,0.0,65.5,19,0,9.5,32,62.7,2,8,,,,,68.4,51.4,74.0,55.3,,49.4,0,1,32,,66.5,0.0,0,3,0,0,0,1,3.1,168,5.8,1,46.2,13,15,17.3,3.36,0,2,12.5,40.0,6,19,0.0,19,37.3,0,4,,,,,23.9,59.3,72.4,70.8,,42.7,1,1,20,15.8,60.4,15.8,3,1,0,1,1,2,10.0,110,7.3
Keegan Shoemaker,108983,QB,SM HOUSTON,1,49,62.5,16,17,7.6,2.25,0,0,0.0,58.8,10,7,0.0,19,38.8,0,8,,,,,67.2,57.9,72.5,57.7,,,0,1,21,28.6,59.9,10.5,2,0,0,1,0,1,4.8,136,8.0,0,281,71.8,62.2,59.8,63.9,65.4,26,28,8.2,3.01,1,1,3.6,53.6,15,8,11.8,30,61.2,2,6,,,,,68.2,62.9,73.7,61.6,,62.4,0,1,30,0.0,63.2,0.0,0,2,0,1,1,2,6.7,131,4.7,72.7,33,34,4.9,2.33,1,0,0.0,64.7,22,0,8.3,34,69.4,2,11,,,,,68.5,67.1,74.2,66.6,,,0,1,34,,68.5,0.0,0,0,0,0,0,1,2.9,202,5.9,0,33.3,9,11,19.2,3.58,0,1,7.7,27.3,3,15,0.0,15,30.6,0,3,,,,,66.7,51.5,71.8,49.3,,62.4,0,1,17,13.3,44.1,13.3,2,2,0,2,1,2,11.8,65,5.9
Joey Aguilar,174978,QB,APP STATE,1,49,80.0,20,23,7.9,2.2,0,0,0.0,60.9,14,9,12.5,23,46.9,2,9,,,,,67.6,59.9,73.0,59.6,,,1,1,24,0.0,88.5,0.0,0,0,0,2,2,2,8.3,137,6.0,0,108,70.4,72.7,72.1,60.1,62.5,24,25,13.2,2.71,0,2,8.0,56.0,14,5,6.7,26,53.1,1,11,,,,,67.8,79.6,73.3,78.8,,,0,0,26,20.0,91.9,3.8,1,0,0,1,1,0,0.0,179,7.2,74.3,35,35,11.9,2.27,0,2,5.6,65.7,23,0,11.5,35,71.4,3,19,,,,,68.7,89.4,74.4,88.2,,,0,0,36,,111.1,0.0,0,0,0,0,2,0,0.0,296,8.5,1,55.6,9,13,6.4,2.98,0,0,0.0,38.5,5,14,0.0,14,28.6,0,1,,,,,66.2,28.8,71.2,28.9,,,1,1,14,7.1,40.2,7.1,1,0,0,3,1,2,14.3,20,1.5
E.J. Warner,156185,QB,TEMPLE,1,49,55.6,9,11,12.8,2.18,1,0,0.0,45.5,5,2,0.0,11,22.4,0,4,,,,,65.6,49.1,71.0,48.9,,,1,0,11,0.0,55.1,0.0,0,0,0,0,0,0,0.0,40,3.6,0,306,69.7,58.3,56.1,64.2,60.6,33,35,9.2,2.52,0,0,0.0,57.1,20,14,0.0,38,77.6,0,10,,,,,69.0,61.9,74.8,59.9,,64.2,0,1,40,14.3,90.3,5.3,2,1,0,2,2,3,7.5,281,8.0,62.5,32,33,10.4,2.04,1,0,0.0,60.6,20,0,0.0,33,67.3,0,11,,,,,68.6,62.1,74.3,61.8,,,0,1,35,,95.6,0.0,0,0,0,0,2,2,5.7,281,8.5,0,50.0,10,13,8.6,3.27,0,0,0.0,38.5,5,16,0.0,16,32.7,0,3,,,,,66.5,51.3,72.0,47.2,,64.2,1,0,16,12.5,47.0,12.5,2,1,0,2,0,1,6.3,40,3.1
Frank Harris,60586,QB,UTSA,1,48,70.4,27,27,10.8,2.52,0,2,7.4,70.4,19,10,0.0,29,60.4,0,13,,,,,68.1,85.1,73.6,82.6,,64.2,0,0,29,10.0,140.8,3.4,1,1,0,0,3,0,0.0,279,10.3,0,331,72.4,84.4,75.1,85.5,66.7,18,19,12.7,2.83,0,1,5.0,63.2,12,3,0.0,19,39.6,0,6,,,,,67.1,59.8,72.4,59.6,,,0,0,20,0.0,83.7,0.0,0,0,0,1,0,1,5.0,132,6.9,77.1,35,35,10.6,2.37,0,3,8.6,77.1,27,0,0.0,35,72.9,0,15,,,,,68.6,91.1,74.3,90.8,,,0,0,35,,139.8,0.0,0,0,0,0,3,0,0.0,377,10.8,1,40.0,10,11,14.7,3.4,0,0,0.0,36.4,4,13,0.0,13,27.1,0,4,,,,,66.2,38.8,71.2,34.7,,64.2,0,0,14,7.7,45.3,7.7,1,1,0,1,0,1,7.1,34,3.1
John Paddock,77689,QB,ILLINOIS,1,48,58.8,17,20,8.1,2.16,3,0,0.0,50.0,10,9,0.0,20,41.7,0,6,,,,,67.2,57.6,72.5,57.4,,,0,0,21,0.0,67.9,0.0,0,0,0,0,0,1,4.8,116,5.8,0,187,39.6,49.6,49.0,59.3,50.0,26,27,10.6,2.24,1,0,0.0,44.4,12,8,7.7,28,58.3,1,8,,,,,27.7,46.0,73.7,46.2,,,0,0,30,12.5,54.4,3.6,1,0,0,0,0,2,6.7,99,3.7,57.1,28,31,9.0,2.09,3,0,0.0,48.4,15,0,6.3,31,64.6,1,8,,,,,68.5,58.6,74.1,58.3,,,0,0,33,,57.1,0.0,0,0,0,0,0,1,3.0,109,3.5,0,46.7,15,16,10.8,2.42,1,0,0.0,43.8,7,17,0.0,17,35.4,0,6,,,,,22.9,39.1,72.0,39.4,,,0,0,18,5.9,66.1,5.9,1,0,0,0,0,2,11.1,106,6.6
Chandler Fields,97286,QB,LA LAFAYET,1,46,73.7,19,20,8.7,2.34,0,0,0.0,70.0,14,6,0.0,25,54.3,0,7,,,,,67.9,54.8,73.4,53.4,,62.0,0,1,27,50.0,103.7,12.0,3,2,0,1,2,0,0.0,148,7.4,0,207,70.4,71.9,70.5,63.6,89.5,19,19,6.3,2.44,0,1,5.0,78.9,15,4,11.8,21,45.7,2,10,,,,,67.4,85.3,72.7,84.4,,,0,0,22,50.0,113.6,9.5,2,0,0,0,1,0,0.0,134,7.1,85.3,34,34,7.1,2.12,0,1,2.9,79.4,27,0,6.9,36,78.3,2,15,,,,,68.8,81.7,74.5,81.0,,62.0,0,1,37,,106.0,0.0,0,2,0,0,2,0,0.0,261,7.7,0,50.0,4,5,10.3,3.34,0,0,0.0,40.0,2,10,0.0,10,21.7,0,2,,,,,65.8,40.1,70.7,40.2,,,0,0,12,50.0,92.5,50.0,5,0,0,1,1,0,0.0,21,4.2
