player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Dru Prox,23093,LB,UTSA,4,28,0,331,0,,,50.0,,,0,0,,60.3,0,,,0,0,0.0,0,2,7.1,4,0,0,0,0,0,0,0.0,,0,0,6.0,100.0,92.0,11.0,11.0,0,0,0.0,52.0,0,16,50.0,1,0,118.8,2,23,82.1,25,0,1,2,0,25,13,1.1,12.5
John Porchivina,28202,LB,OLE MISS,1,2,0,226,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,50.0,1,0,0,0,0,0,0,0.0,
Colby Reeder,30285,LB,IOWA STATE,8,148,0,193,0,,,47.6,,,0,0,,65.3,0,,50.0,1,0,0.0,0,20,13.5,42,0,1,0,0,0,0,0.0,,0,0,7.7,50.0,81.9,19.2,9.6,0,0,0.0,79.0,2,18,0.0,0,0,22.1,5,104,70.3,127,4,7,10,0,43,12,0.4,8.6
Kyle Pugh,35900,LB,N ILLINOIS,12,139,0,254,1,-4.0,100.0,75.5,34.0,34.0,0,0,0.0,66.9,0,8,0.0,0,0,100.0,1,37,26.6,49,2,2,1,0,8,12,0.2,8.0,0,3,10.8,25.0,84.8,77.0,19.3,0,1,25.0,72.9,0,11,9.1,1,1,39.6,1,78,56.1,92,2,7,4,0,11,0,0.1,11.0
Jordan Carmouche,39951,LB,ARK STATE,12,325,0,113,0,23.5,0.0,93.1,,23.5,0,0,0.0,51.5,0,,0.0,0,0,39.6,0,54,16.6,58,1,1,2,0,0,0,0.0,,0,3,4.3,77.8,85.0,14.2,11.1,0,0,0.0,58.6,0,51,6.7,1,0,146.1,14,210,64.6,247,2,11,18,2,183,122,0.9,13.1
Monte McGary,42477,CB,KANSAS,7,22,0,198,1,9.0,100.0,100.0,7.0,7.0,0,0,0.0,58.5,0,12,0.0,0,0,116.7,1,7,31.8,7,0,1,1,0,12,3,1.7,12.0,0,0,,,100.0,,,0,0,,65.5,0,,,0,0,0.0,0,13,59.1,13,0,0,0,0,0,0,0.0,
Bricen Garner,42520,S,W MICHIGAN,12,390,0,347,1,4.3,33.3,98.1,46.0,15.3,0,0,0.0,70.1,0,3,0.0,0,0,42.4,1,52,13.3,53,0,3,3,0,3,4,0.1,3.0,0,3,8.7,65.6,96.0,9.9,6.5,0,2,6.3,60.4,2,37,10.3,3,2,65.0,21,218,55.9,227,9,23,32,0,263,84,1.3,12.5
Brandon Moore,42620,CB,NEBRASKA,6,83,0,238,0,5.0,100.0,100.0,13.0,13.0,0,0,0.0,68.1,0,11,0.0,0,0,100.0,2,27,32.5,27,0,2,2,0,16,6,0.6,8.0,0,1,10.2,50.0,97.6,12.3,6.2,0,0,0.0,74.7,1,13,33.3,1,0,22.9,3,40,48.2,41,0,1,6,0,27,13,0.7,9.0
Brandon Bouyer-Randle,42637,LB,UCONN,13,226,0,146,0,,,32.5,,,0,0,,65.7,0,,,0,0,0.0,0,26,11.5,80,0,0,0,0,0,0,0.0,,0,3,3.4,83.3,62.9,9.3,7.8,0,0,0.0,63.9,2,30,16.7,3,0,59.5,15,151,66.8,240,6,12,18,0,140,93,1.0,9.3
Clifford Chattman,42657,S,UTSA,14,467,0,331,0,19.3,70.0,98.7,10.0,7.0,1,1,10.0,52.0,2,42,20.0,1,1,72.9,7,76,16.3,77,0,4,10,0,153,28,2.2,21.9,0,6,11.8,38.5,98.1,19.8,7.6,0,7,17.9,70.3,2,55,6.5,2,5,40.8,15,314,67.2,320,6,23,39,1,182,117,0.6,12.1
Anthony Watts,42807,DI,MARSHALL,13,10,0,214,0,17.0,100.0,2.9,2.0,2.0,0,0,0.0,50.2,0,49,,0,0,118.8,1,2,20.0,69,0,0,1,0,49,32,24.5,49.0,0,0,,,6.5,,,0,0,,54.0,0,,33.3,1,0,0.0,0,8,80.0,124,1,2,0,0,0,0,0.0,
Justin Clark,43185,CB,WISCONSIN,9,125,0,349,0,12.0,33.3,100.0,15.0,5.0,0,1,33.3,70.4,0,11,0.0,0,0,45.1,1,17,13.6,17,0,1,3,0,11,3,0.7,11.0,0,0,10.4,66.7,100.0,14.7,9.8,0,2,22.2,61.4,0,21,25.0,1,0,85.9,6,92,73.6,92,1,3,9,0,61,10,0.7,10.2
Ryan McWood,43189,LB,MIAMI OH,12,391,0,221,1,-1.5,100.0,75.4,40.0,40.0,0,0,0.0,71.2,0,13,14.3,1,0,145.8,2,86,22.0,114,2,5,2,1,19,22,0.2,9.5,0,6,2.3,87.5,88.8,11.3,9.9,1,5,20.8,69.2,1,23,17.4,4,4,84.0,21,246,62.9,277,4,13,24,0,200,160,0.8,9.5
Jaydon Grant,43354,S,OREGON ST,12,459,0,265,0,9.2,40.0,92.0,56.0,22.4,0,1,20.0,68.4,1,25,0.0,0,1,20.8,2,126,27.5,137,1,7,5,0,30,21,0.3,15.0,0,4,12.5,65.2,96.2,18.1,11.8,1,2,8.7,71.0,1,60,12.0,3,2,78.2,15,280,61.0,291,4,18,23,0,220,84,0.8,14.7
Jon-Michael Terry,43635,LB,TULSA,12,289,0,320,0,3.8,60.0,56.7,25.3,15.2,0,0,0.0,66.6,0,6,20.0,1,0,64.6,3,80,27.7,141,3,4,5,0,11,12,0.1,3.7,0,2,6.7,77.8,85.0,17.0,13.2,0,0,0.0,49.1,0,26,28.6,2,0,139.4,7,125,43.3,147,1,3,9,1,77,44,0.6,11.0
Tyrone Hopper,43714,ED,MISSOURI,11,6,0,229,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,26,0,0,0,0,0,0,,,0,0,,,14.6,,,0,0,,50.2,0,,100.0,1,0,0.0,0,6,100.0,41,0,0,0,0,0,0,0.0,
Sione Tupou,44093,LB,TEXAS ST,12,386,0,314,0,1.5,100.0,73.5,8.8,8.8,0,0,0.0,46.7,0,46,50.0,1,0,158.3,4,36,9.3,49,1,1,4,1,94,88,2.7,23.5,0,5,4.8,78.0,87.9,8.6,6.7,0,2,4.9,64.0,2,74,7.4,2,2,101.0,32,282,73.1,321,6,20,41,2,378,265,1.4,11.8
Semisi Fakasiieiki,44340,LB,PURDUE,11,102,0,273,2,-2.4,60.0,86.4,6.0,3.6,0,0,0.0,56.2,0,11,50.0,2,0,104.2,3,19,18.6,22,0,0,5,1,13,25,0.7,4.3,0,1,1.2,40.0,97.1,33.5,13.4,0,0,0.0,68.1,0,3,0.0,0,0,47.9,2,68,66.7,70,3,4,5,0,4,10,0.1,2.0
Antwaine Richardson,49364,S,KENT STATE,7,225,0,201,1,8.5,50.0,100.0,8.0,4.0,0,1,25.0,56.3,0,12,50.0,1,1,57.3,2,17,7.6,17,0,0,4,0,13,6,0.8,6.5,0,2,12.6,76.5,100.0,11.6,8.9,0,0,0.0,54.8,0,71,16.7,3,0,136.6,13,155,68.9,155,2,13,17,1,209,74,1.4,16.1
Todd Bradley-Glenn,49811,LB,GA SOUTHRN,4,47,0,174,0,1.7,100.0,70.8,5.7,5.7,0,0,0.0,29.1,0,10,50.0,1,0,100.0,3,17,36.2,24,1,1,3,0,24,19,1.4,8.0,0,0,15.0,50.0,84.6,21.0,10.5,0,0,0.0,55.3,0,21,0.0,0,0,127.1,1,22,46.8,26,1,1,2,1,21,0,1.0,21.0
Penei Pavihi,52079,LB,HAWAII,13,364,0,180,1,1.7,90.9,77.7,11.0,10.0,1,1,9.1,65.3,1,35,25.0,2,1,111.2,10,122,33.5,157,5,5,11,1,167,142,1.5,16.7,0,9,2.5,80.6,99.0,7.5,6.0,0,0,0.0,54.2,0,31,12.9,4,0,95.3,25,193,53.0,195,9,18,31,0,213,189,1.1,8.5
George Nyakwol,52203,S,RICE,10,209,0,275,1,13.7,66.7,94.3,45.5,30.3,0,1,33.3,59.9,1,18,33.3,2,1,89.6,2,100,47.8,106,1,3,3,1,23,9,0.3,11.5,0,0,12.0,50.0,93.7,21.3,10.7,0,0,0.0,56.7,0,20,0.0,0,0,72.9,3,74,35.4,79,0,8,6,0,42,4,0.7,14.0
Kenneth Orji,52209,ED,RICE,10,18,0,275,0,,,4.3,,,0,0,,62.2,0,,0.0,0,0,0.0,0,2,11.1,47,0,1,0,0,0,0,0.0,,0,0,5.0,0.0,28.6,,11.0,0,0,0.0,54.3,0,,,0,0,39.6,0,12,66.7,42,0,0,1,0,0,0,0.0,
Trey Schuman,52216,ED,RICE,13,4,0,275,0,,,4.8,,,0,0,,60.2,0,,100.0,1,0,0.0,0,3,75.0,62,1,0,0,0,0,0,0.0,,0,0,,,1.7,,,0,0,,63.2,0,,0.0,0,0,0.0,0,1,25.0,58,4,2,0,0,0,0,0.0,
Alii Matau,52219,LB,S JOSE ST,12,240,0,285,0,13.5,50.0,63.9,23.0,11.5,0,0,0.0,66.6,0,4,0.0,0,0,56.3,1,23,9.6,36,1,1,2,0,4,1,0.2,4.0,0,4,5.9,73.3,58.6,13.9,10.2,0,0,0.0,69.2,1,24,20.0,3,0,80.7,11,163,67.9,278,6,8,15,1,83,39,0.5,7.5
Rico Tolefree,52250,LB,S JOSE ST,10,66,0,285,0,6.0,50.0,100.0,4.0,2.0,0,1,50.0,66.9,0,19,0.0,0,1,83.3,1,5,7.6,5,0,1,2,0,19,15,4.8,19.0,0,1,10.8,100.0,78.3,7.7,7.7,0,0,0.0,56.8,0,27,0.0,0,0,118.8,6,47,71.2,60,2,2,6,0,83,18,1.8,13.8
Tre White,52261,S,S JOSE ST,9,77,0,285,0,,,100.0,,,0,0,,51.3,0,,100.0,1,0,0.0,0,6,7.8,6,0,0,0,0,0,0,0.0,,0,0,10.5,100.0,96.0,23.5,23.5,0,1,50.0,69.7,0,22,0.0,0,1,152.1,2,48,62.3,50,1,4,2,1,22,1,0.5,11.0
Gabe Reid,52273,ED,UTAH,13,26,0,328,0,,,3.9,,,0,0,,62.2,0,,50.0,1,0,0.0,0,4,15.4,103,0,1,0,0,0,0,0.0,,0,1,7.0,100.0,9.3,15.0,15.0,0,0,0.0,70.0,0,14,14.3,1,0,118.8,1,15,57.7,162,7,5,1,0,14,7,0.9,14.0
Ryan Johnson,52282,ED,NWESTERN,6,2,0,256,0,,,7.7,,,0,0,,59.5,0,,,0,0,0.0,0,1,50.0,13,0,0,0,0,0,0,,,0,0,,,1.9,,,0,0,,60.0,0,,,0,0,0.0,0,1,50.0,53,1,0,0,0,0,0,0.0,
Bentlee Sanders,52291,S,NEVADA,12,408,0,239,0,9.5,75.0,100.0,7.9,5.9,0,1,5.0,61.4,1,34,10.5,2,1,85.6,15,129,31.6,129,0,17,20,0,201,84,1.7,13.4,0,1,11.6,53.8,99.6,16.2,8.7,0,2,7.7,82.3,4,44,9.1,2,2,50.5,14,238,58.3,239,6,19,26,1,189,41,0.8,13.5
Mekhi LaPointe,52315,S,USF,10,252,0,327,0,7.6,83.3,96.1,7.3,6.1,0,0,0.0,53.5,0,60,11.1,1,0,158.3,10,74,29.4,77,3,8,12,3,169,104,2.3,16.9,0,4,7.7,90.9,98.3,10.9,9.9,0,1,9.1,62.4,1,22,26.7,4,1,101.9,10,116,46.0,118,3,7,11,1,113,63,1.0,11.3
Nick Roberts,52318,S,SMU,13,416,0,287,0,14.1,71.4,98.1,9.9,7.1,1,0,0.0,36.6,1,41,40.0,4,0,116.7,10,105,25.2,107,3,6,14,2,152,48,1.5,15.2,0,3,10.5,76.0,96.9,12.8,9.7,1,1,4.0,76.5,2,58,10.3,3,1,94.3,19,249,59.9,257,6,23,25,1,293,167,1.2,15.4
Bryce Dugan,52425,DI,OHIO,11,11,0,259,0,,,5.7,,,0,0,,44.0,0,,100.0,1,0,0.0,0,2,18.2,35,0,0,0,0,0,0,0.0,,0,0,,,4.4,,,0,0,,63.4,1,,25.0,1,0,0.0,0,8,72.7,183,5,3,0,0,0,0,0.0,
Xavier Peters,52819,ED,FAU,11,8,0,165,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,15,0,0,0,0,0,0,,,0,0,16.0,100.0,14.0,6.0,6.0,0,0,0.0,52.4,0,15,0.0,0,0,118.8,1,6,75.0,43,0,1,1,0,15,-1,2.5,15.0
Cole Pearce,52970,LB,BALL ST,11,390,0,117,0,2.1,42.9,79.0,40.3,17.3,0,1,14.3,64.0,0,10,20.0,1,1,51.5,3,128,32.8,162,2,4,7,0,23,19,0.2,7.7,0,4,8.8,81.8,91.2,23.1,18.9,1,0,0.0,66.5,1,27,7.7,1,0,63.3,9,218,55.9,239,5,8,11,0,91,52,0.4,10.1
DeShawn Pace,53549,LB,CINCINNATI,13,245,0,138,0,5.4,85.7,82.4,16.5,14.1,0,0,0.0,52.4,0,22,20.0,1,0,97.0,6,103,42.0,125,1,4,7,0,51,28,0.5,8.5,0,1,3.3,66.7,87.2,13.0,8.7,0,1,8.3,67.3,1,32,14.3,1,1,72.2,8,109,44.5,125,1,5,12,1,62,52,0.6,7.8
Ja'von Hicks,53569,S,CINCINNATI,13,454,0,138,3,8.7,50.0,100.0,16.6,8.3,1,3,13.6,74.0,3,33,16.7,3,2,55.1,11,195,43.0,195,3,12,22,2,109,23,0.6,9.9,0,3,14.3,50.0,100.0,49.0,24.5,0,1,12.5,74.5,0,16,23.1,3,1,98.4,4,201,44.3,201,4,7,8,1,29,9,0.1,7.3
Eric Phillips,53572,ED,CINCINNATI,13,1,0,138,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,134,1,0,0,0,0,0,,,0,1,,,0.8,,,1,0,,65.4,0,,20.0,1,0,0.0,0,1,100.0,131,4,3,0,0,0,0,0.0,
Ivan Pace Jr.,53587,LB,CINCINNATI,13,267,0,138,1,6.5,100.0,53.8,24.5,24.5,1,1,25.0,80.1,0,19,0.0,0,1,141.7,4,100,37.5,186,10,6,4,1,34,8,0.3,8.5,0,2,1.9,85.7,58.3,18.3,15.7,0,1,14.3,59.8,0,17,25.0,4,1,103.0,6,112,41.9,192,7,10,7,0,61,53,0.6,10.2
Carrington Valentine,53750,CB,KENTUCKY,12,375,0,202,1,9.5,46.7,97.8,5.7,2.7,0,3,20.0,45.4,0,31,33.3,2,1,91.5,7,44,11.7,45,1,3,15,1,102,64,2.6,14.6,0,2,15.2,56.1,99.3,11.2,6.3,3,6,14.6,70.1,0,63,11.5,3,5,91.8,23,270,72.0,272,6,21,41,1,343,136,1.3,14.9
Jaheim Thomas,54193,LB,CINCINNATI,13,139,0,138,3,3.5,50.0,65.6,55.0,27.5,0,0,0.0,58.0,0,6,0.0,0,0,56.3,1,59,42.4,90,1,0,2,0,6,5,0.1,6.0,0,2,6.3,57.1,68.2,13.5,7.7,0,0,0.0,48.2,0,20,0.0,0,0,77.1,4,58,41.7,85,1,3,7,0,46,16,0.9,11.5
Isaiah Norman,54967,S,MARSHALL,8,200,0,214,0,0.7,100.0,95.8,22.0,22.0,0,0,0.0,53.1,0,16,0.0,0,0,112.5,3,68,34.0,71,0,3,3,0,33,31,0.5,11.0,0,0,15.4,60.0,100.0,29.7,17.8,0,0,0.0,54.5,0,37,0.0,0,0,143.8,3,92,46.0,92,0,5,5,1,66,29,0.7,22.0
